ID,Name,ManagerFullName,Group,Image
1,Germany,Julian Nagelsmann,A,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/2560px-Flag_of_Germany.svg.png
2,Scotland,Steve Clarke,A,https://cdn.britannica.com/40/3940-004-2CDD60DB/flag-Scotland-cross-Saint-Andrew.jpg
3,Hungary,Marco Rossi,A,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/1280px-Flag_of_Hungary.svg.png
4,Switzerland,Murat Yakin,A,https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg
5,Spain,Luis de la Fuente,B,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/2560px-Flag_of_Spain.svg.png
6,Croatia,Zlatko Dalić,B,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/2560px-Flag_of_Croatia.svg.png
7,Italy,Luciano Spalletti,B,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCYDfPqPTXO4DEGV1z0fkyErErwBBOLwXFQA&s
8,Albania,Sylvinho,B,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/2560px-Flag_of_Albania.svg.png
9,Slovenia,Matjaž Kek,C,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Slovenia.svg/1024px-Flag_of_Slovenia.svg.png
10,Denmark,Kasper Hjulmand,C,https://cdn.britannica.com/07/8007-050-D4170843/Flag-Denmark.jpg
11,Serbia,Dragan Stojković,C,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/1200px-Flag_of_Serbia.svg.png
12,England,Gareth Southgate,C,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Flag_of_England.svg/1280px-Flag_of_England.svg.png
13,Poland,Michał Probierz,D,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/1200px-Flag_of_Poland.svg.png
14,Netherlands,Ronald Koeman,D,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/255px-Flag_of_the_Netherlands.svg.png
15,Austria,Ralf Rangnick,D,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/800px-Flag_of_Austria.svg.png?20220412141234
16,France,Didier Deschamps,D,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/1200px-Flag_of_France.svg.png
17,Belgium,Domenico Tedesco,E,https://cdn.britannica.com/08/6408-050-03D00EC3/Flag-Belgium.jpg
18,Slovakia,Francesco Calzona,E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/1200px-Flag_of_Slovakia.svg.png
19,Romania,Edward Iordănescu,E,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/600px-Flag_of_Romania.svg.png
20,Ukraine,Serhiy Rebrov,E,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/2560px-Flag_of_Ukraine.svg.png
21,Turkey,Vincenzo Montella,F,https://cdn.britannica.com/82/4782-050-8129909C/Flag-Turkey.jpg
22,Georgia,Willy Sagnol,F,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/1200px-Flag_of_Georgia.svg.png
23,Portugal,Roberto Martínez,F,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/1200px-Flag_of_Portugal.svg.png
24,Czech Republic,Ivan Hašek,F,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_Czech_Republic.svg
